title,author,year,desc,tags
Kecerdasan Buatan dengan Python. Jilid 1.-- Ed 1,W.Yulia,2022,"Artificial Intellign( Kecerdasan Buatan) merupakan satu bidang ilmu yang berkemabng dengan pesat. Indonesia juga sebaiknya tidak tertinggal dengan perkembangan bidang ilmu dan penerapannya sangat luas ini. Sayangnya, dukungan bahan belajar/bahan ajar dan diskusi terkait kecerdasan buatan dalam bahasa indonesia sangat terbatas. Oleh karena itu penulis menyusun buku ini yang dilengkapi dengan contoh-contoh penerapan Decision Tree, Random Forest, Bag Of Word, Word2Vec, ANN dan CNN.","python, programming, ai"
Pengolahan Citra Digital,"Andono Pulung Nurtantio, T. Sutojo, Muljono",2017,Bibl hal: 193,"cv, programming, visual"
Kolaborasi Laravel dan Database PostgreSQL di Linux,Anton Subagia,2019,null,"database, programming, php, framework, sql"
Pemrograman database MySQL dengan PHP7,Betha Sidik,2020,Ada: CD penyerta,"database, programming, php, sql"
Algoritma Pemrograman Menggunakan C ++ ,"Abdul Kadir, Heriyanto",2005,null,"cpp, programming"
"Algoritma dan pemrograman : dalam bahasa PAscal, C, dan C++. Edisi 6","Munir, Rinaldi",2016,Bibl hal: 649,"cpp, pascal, c, programming"
Pengantar Ilmu Hukum.Jilid 1 ,Endrik Safudin,2020,Pengantar ilmu hukum merupakan salah satu mata kuliah dasar keahlian hukum yang menjadi dasar dan titik tolak bagi mahasiswa ketika mulai mempelajari hukum; sehingga merupakan tahap awal dalam pembelajaran hukum. Pengantar ilmu hukum juga bermanfaat bagi mereka yang telah menyelesaikan studi hukum dan terjun dalam masyarakat; karena materi-materi pengantar ilmu hukum menjadi fondasi dasar penerapan hukum dalam keseluruhan pelajaran dan praktik hukum di masyarakat.,"hukum, indonesia"
Hukum Perdagangan Internasional. Jilid 2 ,Prof. Dr. Ade Maman Suherman,2015,"Buku ini membahas tentang perdagangan internasional dan mekanisme penyelesaian sengketa melalui WTO. Bagian awal tulisan ini membahas hukum perdagangan internasional ditinjau dari perspektif ekonomi. Dengan semakin terbuka dan ketatnya persaingan antar mitra dagang dari berbagai negara, maka diperlukan adanya lembaga penyelesaian sengketa, dalam hal ini Lembaga Penyelesaian Sengketa (LPS-WTO).","hukum, indonesia, internasional, perdagangan"
Perancangan algoritma rescheduling dasar penjadwalan forward dan backward scheduling dalam sistem produksi real time,"Suswardana, Endro Triwahjudi",1997,null,"programming, real time"
Manajemen Perubahan. Jilid 1,"Saefullah, Drs. H. Asep, Dr. H. Ahmad Rusdiana",2016,"Secara umum, perubahan sering diartikan sebagai kondisi yang berbeda dari kondisi sebelumnya. Artinya, perubahan terjadi karena timbul dari suatu proses yang terjadi kemudian dan menggambarkan sebelum dan setelah peristiwa tersebut terjadi, baik berkaitan dengan perubahan fisik, ide, maupun gagasan yang hasilnya mungkin positif (growth), negatif (stagnation), atau mundur (collapse)","manajemen, bisnis, strategi, perdagangan"
